user_id,number_of_subscription_cycles,ordered_yesterday,favorite_cuisines
104939,2,TRUE,"['korean', 'italian', 'chinese', 'vegetarian', 'japanese', 'indian', 'latin', 'middle-eastern', 'thai']"
101562,2,TRUE,"['mediterranean', 'indian', 'thai', 'american', 'chinese', 'korean', 'italian']"
102343,2,TRUE,"['thai', 'italian', 'japanese', 'chinese']"
106728,5,TRUE,"['vegetarian', 'mediterranean']"
107179,0,TRUE,"['italian', 'korean', 'american', 'japanese', 'mediterranean', 'latin', 'middle-eastern']"
111516,4,FALSE,"['mediterranean', 'japanese', 'latin', 'chinese', 'vegetarian', 'italian', 'indian', 'thai']"
106390,1,TRUE,"['italian', 'mediterranean', 'latin', 'vegetarian', 'japanese', 'korean', 'indian', 'american', 'thai', 'chinese']"
107303,0,TRUE,"['mediterranean', 'american', 'vegetarian', 'indian', 'italian', 'latin', 'korean']"
101785,2,TRUE,"['middle-eastern', 'vegetarian']"
104961,6+,TRUE,"['chinese', 'korean', 'latin']"
103354,5,FALSE,"['korean', 'japanese', 'middle-eastern', 'italian']"
108337,2,TRUE,"['vegetarian', 'indian', 'mediterranean', 'chinese', 'american', 'latin', 'japanese', 'korean']"
103201,2,TRUE,"['korean', 'mediterranean', 'latin', 'thai']"
102570,2,TRUE,"['middle-eastern', 'mediterranean', 'vegetarian', 'american', 'italian', 'japanese', 'latin', 'korean', 'indian']"
104407,,TRUE,"['middle-eastern', 'mediterranean']"
105639,5,FALSE,"['american', 'italian']"
104055,0,TRUE,"['middle-eastern', 'korean', 'thai', 'chinese', 'italian', 'japanese', 'latin', 'vegetarian', 'indian']"
107258,0,TRUE,"['indian', 'vegetarian']"
102171,0,TRUE,['chinese']
110542,,TRUE,"['thai', 'mediterranean', 'middle-eastern', 'italian', 'japanese', 'latin', 'chinese', 'korean', 'indian']"
108316,5,FALSE,"['japanese', 'american', 'thai', 'middle-eastern', 'latin', 'vegetarian', 'chinese', 'korean']"
106405,6+,TRUE,"['chinese', 'vegetarian', 'middle-eastern', 'italian', 'mediterranean', 'american', 'latin', 'japanese']"
100696,4,TRUE,"['indian', 'middle-eastern', 'vegetarian', 'latin', 'japanese', 'mediterranean', 'korean', 'italian']"
